CompteurTemps	Temps	CxS	CyS	
1	0	0.136449	0.00287545	
2	1	0.0888764	0.00334497	
3	2	0.0796204	0.00364231	
4	3	0.0764493	0.00387992	
5	4	0.0750992	0.00400802	
6	5	0.0744474	0.00406365	
7	6	0.0740994	0.00408148	
8	7	0.0738978	0.00408115	
9	8	0.0737722	0.00407156	
10	9	0.0736882	0.00405672	
11	10	0.0736279	0.00403844	
12	11	0.0735819	0.00401872	
13	12	0.0735456	0.00399887	
14	13	0.0735162	0.00398002	
15	14	0.0734923	0.00396303	
16	15	0.0734731	0.00394834	
17	16	0.0734579	0.00393616	
18	17	0.073446	0.00392637	
19	18	0.073437	0.00391871	
20	19	0.0734303	0.00391291	
21	20	0.0734254	0.00390861	
22	21	0.0734219	0.00390552	
23	22	0.0734195	0.00390333	
24	23	0.0734178	0.00390181	
25	24	0.0734167	0.0039008	
26	25	0.0734159	0.00390014	
27	26	0.0734154	0.00389964	
28	27	0.073415	0.00389934	
29	28	0.0734148	0.00389914	
30	29	0.0734147	0.00389902	
31	30	0.0734146	0.00389896	
32	31	0.0734146	0.0038989	
33	32	0.0734145	0.00389886	
34	33	0.0734145	0.00389885	
35	34	0.0734145	0.00389884	
36	35	0.0734145	0.00389882	
37	36	0.0734145	0.00389882	
38	37	0.0734145	0.00389881	
39	38	0.0734145	0.00389881	
40	39	0.0734145	0.00389881	
41	40	0.0734145	0.00389881	
42	41	0.0734145	0.00389881	
43	42	0.0734145	0.00389881	
44	43	0.0734145	0.00389881	
45	44	0.0734145	0.00389881	
46	45	0.0734145	0.00389881	
47	46	0.0734145	0.00389881	
48	47	0.0734145	0.00389881	
49	48	0.0734145	0.00389881	
50	49	0.0734145	0.00389881	
51	50	0.0734145	0.00389881	
52	51	0.0734145	0.00389881	
53	52	0.0734145	0.00389881	
54	53	0.0734145	0.00389881	
55	54	0.0734145	0.00389881	
56	55	0.0734145	0.00389881	
57	56	0.0734145	0.00389881	
58	57	0.0734145	0.00389881	
59	58	0.0734145	0.00389881	
60	59	0.0734145	0.00389881	
61	60	0.0734145	0.00389881	
62	61	0.0734145	0.00389881	
63	62	0.0734145	0.00389881	
64	63	0.0734145	0.00389881	
65	64	0.0734145	0.00389881	
66	65	0.0734145	0.00389881	
67	66	0.0734145	0.00389881	
68	67	0.0734145	0.00389881	
69	68	0.0734145	0.00389881	
70	69	0.0734145	0.00389881	
71	70	0.0734145	0.00389881	
72	71	0.0734145	0.00389881	
73	72	0.0734145	0.00389881	
74	73	0.0734145	0.00389881	
75	74	0.0734145	0.00389881	
76	75	0.0734145	0.00389881	
77	76	0.0734145	0.00389881	
78	77	0.0734145	0.00389881	
79	78	0.0734145	0.00389881	
80	79	0.0734145	0.00389881	
81	80	0.0734145	0.00389881	
82	81	0.0734145	0.00389881	
83	82	0.0734145	0.00389881	
84	83	0.0734145	0.00389881	
85	84	0.0734145	0.00389881	
86	85	0.0734145	0.00389881	
87	86	0.0734145	0.00389881	
88	87	0.0734145	0.00389881	
89	88	0.0734145	0.00389881	
90	89	0.0734145	0.00389881	
91	90	0.0734145	0.00389881	
92	91	0.0734145	0.00389881	
93	92	0.0734145	0.00389881	
94	93	0.0734145	0.00389881	
95	94	0.0734145	0.00389881	
96	95	0.0734145	0.00389881	
97	96	0.0734145	0.00389881	
98	97	0.0734145	0.00389881	
99	98	0.0734145	0.00389881	
100	99	0.0734145	0.00389881	
101	100	0.0734145	0.00389881	
102	101	0.0734145	0.00389881	
103	102	0.0734145	0.00389881	
104	103	0.0734145	0.00389881	
105	104	0.0734145	0.00389881	
106	105	0.0734145	0.00389881	
107	106	0.0734145	0.00389881	
108	107	0.0734145	0.00389881	
109	108	0.0734145	0.00389881	
110	109	0.0734145	0.00389881	
111	110	0.0734145	0.00389881	
112	111	0.0734145	0.00389881	
113	112	0.0734145	0.00389881	
114	113	0.0734145	0.00389881	
115	114	0.0734145	0.00389881	
116	115	0.0734145	0.00389881	
117	116	0.0734145	0.00389881	
118	117	0.0734145	0.00389881	
119	118	0.0734145	0.00389881	
120	119	0.0734145	0.00389881	
