CompteurTemps	Temps	CxS0	CyS0	
1	0	0.207666	0.0197612	
2	0.05	0.0537776	0.0212026	
3	0.1	0.079362	-0.00237185	
4	0.15	0.0684521	-0.00336872	
5	0.2	0.0613137	-0.00398962	
6	0.25	0.0562494	-0.00452736	
7	0.3	0.0524048	-0.00498155	
8	0.35	0.0493721	-0.00540421	
9	0.4	0.0469035	-0.00579236	
10	0.45	0.0448502	-0.00615339	
11	0.5	0.0431148	-0.00649481	
12	0.55	0.0416293	-0.00682332	
13	0.6	0.0403432	-0.0071299	
14	0.65	0.0392213	-0.00743083	
15	0.7	0.0382374	-0.00772264	
16	0.75	0.0373687	-0.00800581	
17	0.8	0.0365983	-0.00828201	
18	0.85	0.0359138	-0.00855357	
19	0.9	0.0353018	-0.00882049	
20	0.95	0.0347555	-0.00908554	
21	1	0.0342652	-0.0093486	
22	1.05	0.0338243	-0.00961093	
23	1.1	0.0334273	-0.00987356	
24	1.15	0.0330687	-0.0101372	
25	1.2	0.0327444	-0.0104026	
26	1.25	0.0324507	-0.0106704	
27	1.3	0.032184	-0.0109406	
28	1.35	0.0319415	-0.0112134	
29	1.4	0.0317205	-0.0114886	
30	1.45	0.0315187	-0.0117657	
31	1.5	0.0313341	-0.012044	
32	1.55	0.0311646	-0.0123221	
33	1.6	0.0310087	-0.0125991	
34	1.65	0.030865	-0.0128731	
35	1.7	0.0307321	-0.0131418	
36	1.75	0.0306085	-0.0134024	
37	1.8	0.0304935	-0.0136525	
38	1.85	0.0303864	-0.0138892	
39	1.9	0.0302866	-0.0141073	
40	1.95	0.0301928	-0.0143036	
41	2	0.0301044	-0.014475	
42	2.05	0.0300207	-0.0146178	
43	2.1	0.0299413	-0.0147288	
44	2.15	0.0298663	-0.0148054	
45	2.2	0.0297959	-0.014845	
46	2.25	0.0297287	-0.0148457	
47	2.3	0.0296654	-0.0148102	
48	2.35	0.0296052	-0.0147352	
49	2.4	0.0295465	-0.0146212	
50	2.45	0.0294924	-0.0144756	
51	2.5	0.0294417	-0.0142985	
52	2.55	0.0293935	-0.0140915	
53	2.6	0.0293475	-0.0138601	
54	2.65	0.0293041	-0.0136088	
55	2.7	0.0292633	-0.0133417	
56	2.75	0.0292248	-0.013063	
57	2.8	0.0291885	-0.0127769	
58	2.85	0.0291545	-0.0124875	
59	2.9	0.0291223	-0.0121977	
60	2.95	0.0290921	-0.0119112	
61	3	0.0290636	-0.0116302	
62	3.05	0.0290369	-0.0113571	
63	3.1	0.0290117	-0.011094	
64	3.15	0.028988	-0.0108419	
